season,total_speciman,h1n1pdm09_positive,h3n2_positive,h1n1pdm09_rate,h3n2_rate
2010,6938,1816,748,26.17469011,10.78120496
2011,2830,592,330,20.91872792,11.66077739
2012,1485,152,282,10.23569024,18.98989899
2013,1674,174,324,10.39426523,19.35483871
2014,2470,227,598,9.190283401,24.21052632
2015,1774,126,492,7.10259301,27.73393461
2016,2427,166,608,6.839719819,25.05150391
2017,1822,177,436,9.714599341,23.92974753
2018,2766,357,149,12.90672451,5.386840202
2019,3579,301,392,8.410170439,10.95278011
