Table S3.1. The summary of g-measure and positive rate of A/H3N2,,,,,,,,,,,,,,
,NY,,CA,,UK,,HK,,SG,,TH,,NZ,
season,g-measure,H3%,g-measure,H3%,g-measure,H3%,g-measure,H3%,g-measure,H3%,g-measure,H3%,g-measure,H3%
2009,3.52,16.61,3.11,2.99,4.31,13.03,7.7,4.78,6.08,5.59,3,3.52,0,0.33
2010,0.18,0.56,3.5,-,2.5,0.04,6.98,5.66,7.53,11.19,4.72,3.22,3.75,0.23
2011,1.67,34.99,0.39,13.29,0.5,0.07,11.54,2.13,9.4,13.58,10.37,12.61,1.44,8.58
2012,3.2,17.52,2.78,35.82,4.04,43.29,15,10.42,9,11.6,4.07,2.31,6.67,33.98
2013,4.96,58.6,8.48,42.4,7,3.37,13.28,3.68,8.33,25.84,6.25,10.58,5.94,5.91
2014,5.24,3.17,2.66,2.35,1.78,1.06,17.23,3.72,7.3,19.74,3.47,4.53,3.47,6
2015,5.71,38.81,6.18,44.11,5.38,8.18,16.36,11.51,7.89,25.75,7.52,13.87,7.79,7.91
2016,3.49,2.87,0.73,6.58,1.17,0.32,15.32,3.57,8.46,28.19,3.41,8.48,11.63,14.98
2017,5.23,37.17,2.64,41.93,2.11,9.83,14.97,10.12,8.64,22.26,1,14.1,2.2,20.65
2018,2.88,44.88,3.15,33.18,2.88,6.09,10.71,0.84,3.51,9.68,0,6.53,1.69,3.85
2019,10.31,36.26,1.32,4.69,1.71,3.24,12.54,2.83,4.77,6.75,0,8.22,7.68,20.53
,,,,,,,,,,,,,,
Table S3.2. The summary of g-measure and positive rate of A/H1N1,,,,,,,,,,,,,,
,NY,,CA,,UK,,HK,,SG,,TH,,NZ,
season,g-measure,H1%,g-measure,H1%,g-measure,H1%,g-measure,H1%,g-measure,H1%,g-measure,H1%,g-measure,H1%
2009,116.67,73.22,115.44,19.06,118.62,5.43,92.76,11.35,115.88,28.81,93.79,10.54,75.76,17.5
2010,1.03,24.71,1.56,19.51,115.75,33.09,1.5,2.74,116.2,27.72,114.77,16.52,115.48,20.64
2011,2.13,14.47,2.92,6.56,116.47,16.45,2.44,6.36,112.49,17.73,5.83,1.76,4.38,2.35
2012,4.71,9.69,4.63,4.61,2.75,1.22,3.4,0.2,2.56,9.5,2.94,5.86,0.86,2.39
2013,2.2,1.53,2,0.78,5.45,1.7,2.24,2.84,2.44,6.87,2.77,1.17,3.3,4.93
2014,5,30.14,1.83,11.37,7.96,3.47,2,3.25,5.17,9.82,2.94,9.56,5,21.28
2015,2,0.04,0.2,0.08,6.44,0.45,2.15,0.22,4.93,7.27,1.75,2.4,0,0.2
2016,3.69,32.84,3.78,16.93,6.65,6.69,3.45,3.65,7.25,6.92,3.86,10.27,3.96,5.59
2017,0.88,0.89,0.73,1.51,6.19,0.04,1.54,0.98,6.21,10.98,1.51,6.83,2.47,3.12
2018,3.14,6.5,3.67,3.95,7.26,0.84,3.53,2.7,7.76,11.51,3.56,15.17,1.61,22.08
2019,0.63,42.91,1.29,12.69,5.5,11.15,3.67,6.55,9.86,13.48,2.93,7.53,1,0
