region,year,dominate,h1_p,h3_p,h1_g,h3_g,h3h1_g,h3h1_p,logh3h1_g,logh3h1_p,,Abbreviation:,
CA,2009,h1,19.0591417,2.992669561,115.4391941,3.109589025,0.02693703,0.157020164,-1.569650291,-0.804044573,,h1_p,h1 seropositivity rate
CA,2011,h3,6.555238483,13.29136062,2.9166667,0.38888894,0.133333349,2.027593756,-0.875061211,0.306980945,,h3_p,h3 seropositivity rate
CA,2012,h3,4.612733171,35.81612586,4.625,2.78260856,0.601645094,7.76462122,-0.22065962,0.890120274,,h1_g,h1 gmeasure
CA,2013,h3,0.783073333,42.40392056,2,8.48,4.24,54.15063797,0.627365857,1.733603578,,h3_g,h3 g-measure
CA,2014,h1,11.36558744,2.352835928,1.83333334,2.65625,1.448863631,0.207014018,0.161027511,-0.684000244,,h3h1_g,h3 gmeasure / h1 g-measure
CA,2015,h3,0.079108815,44.11004431,0.2,6.17577609,30.87888045,557.5869682,1.489661546,2.746312615,,h3h1_p,h3 rate / h1 rate
CA,2016,h1,16.92901329,6.580768821,3.7804878,0.73228346,0.193700786,0.388727252,-0.712868616,-0.410355011,,,
CA,2017,h3,1.507830238,41.92594006,0.7291667,2.640355252,3.621058466,27.8054777,0.558835537,1.444130361,,,
CA,2018,h3,3.953687822,33.17929036,3.6666667,3.145539987,0.857874534,8.39198537,-0.066576224,0.923864718,,,
CA,2019,h1,12.68942565,5.474506028,1.28571431,1.31775688,1.024921998,0.43142268,0.010690815,-0.365097027,,,
UK,2009,h3,5.432889224,13.0290476,118.6172184,4.3076924,0.036315911,2.398180243,-1.439903052,0.379881821,,,
UK,2010,h1,33.09031784,0.03671457,115.7534536,2.5,0.021597628,0.001109526,-1.665593949,-2.954862493,,,
UK,2011,h1,16.4459063,0.071117433,116.4742887,0.5,0.004292793,0.004324324,-2.367260063,-2.364081739,,,
UK,2012,h3,1.216708182,43.29373443,2.75,4.04255331,1.470019385,35.58267715,0.167323062,1.55123862,,,
UK,2013,h3,1.70411985,3.370786517,5.45454539,7,1.283333349,1.978021978,0.10833948,0.296231113,,,
UK,2014,h1,3.471028112,1.059703283,7.9574468,1.7777776,0.223410554,0.305299539,-0.650896314,-0.515273851,,,
UK,2015,h3,0.451257959,8.18136861,6.4444444,5.379767896,0.834791576,18.13013698,-0.078421942,1.258401085,,,
UK,2016,h1,6.692236477,0.324031213,6.646575393,1.16666664,0.175528986,0.048418972,-0.755651156,-1.314984432,,,
UK,2017,h3,0.042653018,9.83152058,6.1851852,2.105424833,0.340398026,230.4999984,-0.468012967,2.362670927,,,
UK,2018,h3,0.837036921,6.086970178,7.257142828,2.884927635,0.3975294,7.272045026,-0.400630747,0.861656559,,,
UK,2019,h1,11.15377396,3.237256608,5.504593852,1.7142682,0.311425011,0.290238678,-0.506646512,-0.537244713,,,
SG,2009,h1,28.80788871,5.593707812,115.8788583,6.07692306,0.052442034,0.194172779,-1.28032047,-0.711811653,,,
SG,2010,h1,27.72491349,11.18800461,116.200541,7.52793905,0.064784028,0.403536141,-1.188532056,-0.394117563,,,
SG,2011,h1,17.72694782,13.58112938,112.4850449,9.403508776,0.083597858,0.766129032,-1.077804852,-0.11569808,,,
SG,2012,h3,9.501965924,11.59895151,2.5625,8.9999999,3.512195083,1.220689655,0.545578631,0.086605264,,,
SG,2013,h3,6.869369369,25.84459459,2.43902445,8.33333327,3.416666557,3.762295082,0.533602597,0.575452855,,,
SG,2014,h3,9.81924768,19.73619932,5.16666666,7.3,1.412903228,2.009950249,0.150112417,0.303185308,,,
SG,2015,h3,7.268951194,25.75285566,4.933823559,7.89230766,1.599633138,3.542857143,0.204020392,0.549353641,,,
SG,2016,h3,6.916299559,28.1938326,7.249929973,8.459927606,1.166897837,4.076433121,0.067032835,0.610280322,,,
SG,2017,h3,10.97863885,22.25534029,6.207549663,8.63580256,1.391177361,2.027149321,0.143382502,0.30688574,,,
SG,2018,h1,11.51228174,9.677419355,7.75757577,3.514492761,0.453040082,0.840616967,-0.343863373,-0.075401849,,,
SG,2019,h1,13.47777153,6.752954418,9.856209154,4.769841276,0.483942782,0.501043841,-0.315205983,-0.300124272,,,
TH,2009,h1,10.53500661,3.517173052,93.79245158,3.00000001,0.031985517,0.333855799,-1.495046632,-0.476441075,,,
TH,2010,h1,16.51803541,3.221083455,114.7737227,4.7222223,0.041143758,0.195004029,-1.385696041,-0.709956416,,,
TH,2011,h3,1.758731731,12.60837255,5.82608694,10.36736837,1.77947368,7.169014084,0.250291569,0.855459434,,,
TH,2012,h1,5.859464408,2.311741817,2.9375,4.07014848,1.385582461,0.39453125,0.141632377,-0.403918592,,,
TH,2013,h3,1.168014376,10.57951482,2.77272721,6.24999999,2.254098408,9.0576923,0.352972872,0.957017563,,,
TH,2014,h1,9.563353871,4.527189928,2.9402985,3.47450971,1.181686047,0.473389356,0.072502107,-0.324781511,,,
TH,2015,h3,2.403846154,13.87362637,1.75,7.51802326,4.296013291,5.77142857,0.633065616,0.761283325,,,
TH,2016,h1,10.27143738,8.48241826,3.86486487,3.4065934,0.881426263,0.825825826,-0.054814013,-0.08311154,,,
TH,2017,h3,6.833050642,14.10225345,1.5108696,1,0.661870488,2.063829787,-0.179226983,0.314673876,,,
TH,2018,h1,15.1672621,6.528093537,3.56249997,0.5,0.140350878,0.430406852,-0.852784865,-0.366120823,,,
TH,2019,h3,7.533805538,8.220648208,2.93023256,0.5,0.170634921,1.091168091,-0.767932085,0.037891658,,,
NZ,2009,h1,17.50458716,0.330275229,75.75675168,0.5,0.006600072,0.018867925,-2.18045134,-1.72427587,,,
NZ,2010,h1,20.64466616,0.230237913,115.476719,3.75,0.032474078,0.011152416,-1.488463168,-1.952631024,,,
NZ,2011,h3,2.350176263,8.578143361,4.375,1.4375,0.328571429,3.65,-0.483370204,0.562292865,,,
NZ,2012,h3,2.394526796,33.97947548,0.8571429,6.66666655,7.777777253,14.19047619,0.890855501,1.151996969,,,
NZ,2013,h3,4.926108374,5.911330049,3.3,5.94117647,1.800356506,1.2,0.255358512,0.079181246,,,
NZ,2014,h1,21.28240109,6.002728513,5,3.4666668,0.69333336,0.282051282,-0.159057903,-0.549671922,,,
NZ,2015,h3,0.202839757,7.910750507,0.5,7.79122341,15.58244682,38.99999992,1.192635653,1.591064606,,,
